"","OID_1","FoodTruckCount_1000","FoodTruckCount_100","FoodTruckCount_2500","FoodTruckCount_250","FoodTruckCount_500","FoodTruckCount_50","Latitude","Longitude"
"54",54,28.67999993795,0.962500034834298,63.3300005748503,4.13999994721844,10.6775000770399,0.200000010801555,37.8029825797026,-122.275613019836
"55",55,31.0175000951723,0.287500013232891,64.0525005583011,6.13499991835769,15.4925000496297,0,37.8030167464695,-122.273342267391
"56",56,33.6824997757357,0.885000035240329,63.7225011471632,5.97250002577617,17.152499727412,0.197500010669481,37.8030508695191,-122.271071512858
"57",57,0.9999999585819,0,8.66999995848867,0,0,0,37.8040917689451,-122.321071817368
"58",58,0.9999999585819,0,8.98249989351289,0,0,0,37.8041268108844,-122.318801052175
"59",59,2.22499992221751,0,12.0999998890268,0.374999984075513,1.14249995141533,0,37.8042665414692,-122.30971797001
"60",60,5.999999924279,0,18.0049998798682,0,0.179999992104919,0,37.8043708803753,-122.302905635999
"61",61,5.41000000234266,0,25.3974996171881,0,1.16499995082114,0,37.8044055725756,-122.300634853745
"62",62,5.00000005680328,0,31.7724997760846,0.307499987036169,1.83249992245985,0,37.8044402210582,-122.298364069371
"63",63,4.36499991143145,0.407500022022895,38.2974999689808,0.999999957600152,1.64749993013791,0.145000007833091,37.8044748258231,-122.296093282879
"64",64,4.39499991901678,0.237500012821938,42.4649989851252,0.992499957863664,1.10249995360612,0.0475000025643877,37.8045093868702,-122.293822494272
"65",65,3.88249989912796,0,48.3174994284334,0.0874999963366463,0.999999957796502,0,37.8045439041995,-122.291551703552
"66",66,2.9974999565332,0,53.274998962673,0,0.36249998431835,0,37.804578377811,-122.289280910722
"67",67,2.67499991975857,0,53.9699992111801,0,0.059999997106507,0,37.8046128077044,-122.287010115785
"68",68,7.82750003423198,0,55.9774987705278,0,0.324999985832259,0,37.8046471938799,-122.284739318744
"69",69,13.2350001330701,0,58.3225004140489,0,0.252499988968589,0,37.8046815363373,-122.282468519601
