OID,OID_1,MEAN_InvDi
-1,156,4426.268569454069600
-1,157,6414.594437210647800
-1,158,2672.567865023955600
-1,159,1393.468184865582100
-1,160,5787.762156507704300
-1,161,4135.154103651403600
-1,162,5000.572979832194500
-1,163,3391.459866549799200
-1,164,4849.276010810004700
-1,165,9424.922551935369500
-1,166,2674.417359971508600
-1,167,5688.466783989800200
-1,168,4872.763331095377900
-1,169,1388.248733762710800
-1,170,5279.706375960465300
-1,171,1851.932061089409700
-1,172,5757.064667390522100
-1,173,3471.318897959950400
-1,174,2169.100406561957200
-1,175,1364.872408390045200
-1,176,7014.982135973478800
-1,177,6756.081248643663500
-1,178,5256.770829511610800
-1,179,3890.177039269956400
-1,180,794.674933737896820
-1,181,988.094948832194060
-1,182,3403.092375578703900
-1,183,2924.328152349086400
-1,184,6315.994749684813500
-1,185,9160.025853696077300
-1,186,4079.836286828873200
-1,187,2017.829142083062200
-1,188,7030.804782888277300
-1,189,4786.996204969617800
-1,190,7696.097568052601700
-1,191,4970.581621538868600
-1,192,4462.154823585792700
-1,193,5657.906320879536000
-1,194,7816.222708753360200
-1,195,4527.524768405490200
-1,196,2382.645430072985200
-1,197,2178.500566891974800
-1,198,569.627746751573340
-1,199,3759.013915337456600
-1,200,2175.234642302684300
-1,201,7031.901310395429400
-1,202,8819.142315673827400
-1,203,3397.606044130067400
-1,204,2647.534439425998200
-1,205,4401.763611478955700
-1,206,8154.971185272063800
-1,207,6522.178399054559100
-1,208,6800.795886230468600
-1,209,7583.219467983451100
-1,210,5518.144236353824500
-1,211,1086.565073044235500
-1,212,3607.040090707632300
-1,213,505.147450979132430
-1,214,3519.215883043077200
-1,215,2346.794250811218700
-1,216,2732.090941419099600
-1,217,7753.973239772922200
-1,218,3926.560536024305700
-1,219,312.252089775933140
-1,220,4997.052271108158500
-1,221,7646.252135896943400
-1,222,9059.727994109947800
-1,223,7189.810969737352900
-1,224,6810.196111382378100
-1,225,5077.106434357471700
-1,226,753.799300327095920
-1,227,3747.175817192925500
-1,228,623.583557631943220
-1,229,1557.872630417949000
-1,230,4853.152715356310200
-1,231,3639.133088853624000
-1,232,4709.812504818564800
-1,233,6197.037384528082800
-1,234,761.406663480012300
-1,235,6207.739208984375200
-1,236,5495.900708141222800
-1,237,5907.779252485795000
-1,238,8166.550328911675000
-1,239,5730.218228488498400
-1,240,7033.922558849394600
-1,241,7351.254380246426100
-1,242,2827.288870389344100
-1,243,2579.059675084078200
-1,244,3173.831527792440700
-1,245,1270.385010945862900
-1,246,606.163361398797290
-1,247,3431.739146343030400
-1,248,3515.048758273654600
-1,249,2925.210396660698700
-1,250,3630.737724879279100
-1,251,5939.640696878966100
-1,252,5896.139151340060400
-1,253,4237.487140570746300
-1,254,3825.586934089660600
-1,255,3205.006019874855200
-1,256,1954.516831461588500
-1,257,3246.446170256099800
-1,258,5761.550065324113300
-1,259,9398.603626478041400
-1,260,7855.172642484624700
-1,261,7735.275490315755600
-1,262,7267.408232421875300
-1,263,2254.218595557450000
-1,264,4309.589529079860800
-1,265,1464.077031263055700
-1,266,3304.026265462239700
-1,267,625.474409315321170
-1,268,3556.592830136825300
-1,269,2817.902703825128400
-1,270,3354.397718274915400
-1,271,7519.557865308678600
-1,272,580.511869204941600
-1,273,7010.875918433779600
-1,274,6527.044074842664500
-1,275,5653.008291391225600
-1,276,7118.123735894097100
-1,277,9438.425131939826300
-1,278,4661.200393918960800
-1,279,8204.204887559679300
-1,280,1678.174911499023400
-1,281,2335.498202853732400
-1,282,4838.654694598653800
-1,283,3807.883284250895000
-1,284,3599.659316604201600
-1,285,3622.288128323025400
-1,286,5001.164858291709600
-1,287,9286.136435350581500
-1,288,5171.753953721788100
-1,289,1167.458202107747400
-1,290,3615.069804739444900
-1,291,3892.845845217427300
